City,januari_2008,februari_2008,maret_2008,april_2008,mei_2008,juni_2008,juli_2008,agustus_2008,september_2008,oktober_2008,november_2008,desember_2008,januari_2009,februari_2009,maret_2009,april_2009,mei_2009,juni_2009,juli_2009,agustus_2009,september_2009,oktober_2009,november_2009,desember_2009,januari_2010,februari_2010,maret_2010,april_2010,mei_2010,juni_2010,juli_2010,agustus_2010,september_2010,oktober_2010,november_2010,desember_2010,januari_2011,februari_2011,maret_2011,april_2011,mei_2011,juni_2011,juli_2011,agustus_2011,september_2011,oktober_2011,november_2011,desember_2011,januari_2012,februari_2012,maret_2012,april_2012,mei_2012,juni_2012,juli_2012,agustus_2012,september_2012,oktober_2012,november_2012,desember_2012,januari_2013,februari_2013,maret_2013,april_2013,mei_2013,juni_2013,juli_2013,agustus_2013,september_2013,oktober_2013,november_2013,desember_2013,januari_2014,februari_2014,maret_2014,april_2014,mei_2014,juni_2014,juli_2014,agustus_2014,september_2014,oktober_2014,november_2014,desember_2014,januari_2015,februari_2015,maret_2015,april_2015,mei_2015,juni_2015,juli_2015,agustus_2015,september_2015,oktober_2015,november_2015,desember_2015,januari_2016,februari_2016,maret_2016,april_2016,mei_2016,juni_2016,juli_2016,agustus_2016,september_2016,oktober_2016,november_2016,desember_2016,januari_2017,februari_2017,maret_2017,april_2017,mei_2017,juni_2017,juli_2017,agustus_2017,september_2017,oktober_2017,november_2017,desember_2017,januari_2018,februari_2018,maret_2018,april_2018,mei_2018,juni_2018,juli_2018,agustus_2018,september_2018,oktober_2018,november_2018,desember_2018,januari_2019,februari_2019,maret_2019,april_2019,mei_2019,juni_2019,juli_2019,agustus_2019,september_2019,oktober_2019,november_2019,desember_2019,januari_2020,februari_2020,maret_2020,april_2020,mei_2020,juni_2020,juli_2020,agustus_2020,september_2020,oktober_2020,november_2020,desember_2020,januari_2021,februari_2021,maret_2021,april_2021,mei_2021,juni_2021,juli_2021,agustus_2021,september_2021,oktober_2021,november_2021,desember_2021,januari_2022,februari_2022,maret_2022,april_2022,mei_2022,juni_2022,juli_2022,agustus_2022,september_2022,oktober_2022,november_2022,desember_2022,januari_2023,februari_2023,maret_2023,april_2023,mei_2023,juni_2023,juli_2023,agustus_2023,september_2023,oktober_2023,november_2023
KOTA MEULABOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4,112.94,112.12,112.05,112.52,112.75,115.47,116.26,116.93,117.89,119.16,120.56,120.41,119.24,118.48,118.58,119.37,120.05,121.06,120.3,120.27,120.33,120.67,121.26,121.82,122.27,122.18,122.01,122.49,122.68,123.18,123.82,124.85,125.25,125.44,125.83,127.51,128.03,127.95,127.29,127.37,127.98,127.99,128.3,128.78,129.14,130.28,131.82,131.63,131.3,131.57,130.88,131.62,131.88,132.81,133.11,132.57,132.35,132.45,133.08,134.29,133.34,133.86,134.1,135.89,137.66,137.95,138.22,139.48,139.73,139.03,138.77,106.2,106.09,106.64,106.41,106.89,106.69,106.59,107.53,107.69,108.03,108.02,109.12,110.03,108.99,108.37,108.95,109.81,109.74,109.96,109.93,109.28,109.96,110.49,111.38,112.44,111.46,112.23,113.6,115.03,116.56,117.86,117.47,118.04,118.27,117.54,118.69,119.59,120.06,119.27,118.44,119.13,119.69,119.95,120.02,120.56,120.92,121.19
KOTA BANDA ACEH,204.8,208.85,207.26,205.6,213.37,110.54,110.82,110.2,112.04,111.7,112.41,113.6,113.26,113.21,114,113.46,114.18,114.16,115.07,116.74,118.86,117.32,117.85,117.58,118.21,118.29,118.1,117.44,117.36,117.71,119.04,119,119.44,119.53,121.6,123.03,125.17,125.76,123.35,123.07,122.59,123.17,124.6,126.95,125.67,125.32,125.97,127.12,127.15,126.8,127.32,127.15,126.4,127.21,127.44,128.07,127.77,127.39,126.35,127.19,128.74,129.12,128.96,129.34,129.1,131.36,133.73,135.12,134.31,134.54,134.37,135.32,108.47,107.98,107.42,107.26,108.18,108.61,109.95,110.02,110.54,110.96,112.38,114.84,114.95,113.91,113.22,113.31,113.89,115.26,115.96,115.71,115.29,115.41,115.67,116.3,117.01,117.03,116.73,115.46,116.3,117.58,118.44,118.02,118.94,118.92,119.1,119.94,120.27,120.5,120.32,120.2,121.23,122.21,122.6,123.11,123.87,124.08,124.45,125.77,125.35,125.09,124.99,124.87,125.77,126.83,126.93,127.56,126.6,127.01,128.18,128.2,128.75,128.06,127.5,127.96,129.85,130.34,130.03,130.12,129.41,129.5,129.37,129.97,103.17,103.73,104.36,104.28,104.6,104.41,104.06,104.52,104.19,104.84,105.04,105.93,106.75,106.15,105.67,106.23,106.41,106.36,106.21,106.49,106.35,106.75,107.68,108.48,109.58,109.21,109.85,111.2,112.22,113.07,114.18,113.81,114.7,114.14,114.26,114.99,115.69,116.35,115.69,115.9,116.05,116.12,116.47,116.15,116.31,116.02,116.46
KOTA LHOKSEUMAWE,160.79,163.58,165.43,163.93,165.54,108.77,109.27,110.52,111.95,112.34,113.6,115.27,114.2,115.21,114.63,114.6,114.7,114.21,115.32,116.54,119.2,118.18,118.28,119.83,120.09,119.81,119.72,118.84,118.85,121.12,122.24,122.75,121.18,121.52,124.73,128.44,130.74,130.83,129.24,128.89,127.43,128.64,129.2,131.63,132,131.78,132.8,133,134.33,133.86,134.6,134.87,133.67,136.25,136.43,137.36,135.26,134.27,133.09,133.52,135.85,138.27,138.9,139.02,140.25,141.23,143.87,144.25,142.88,143.8,144.74,144.56,108.99,108.03,107.2,107.19,108.43,108.61,110.06,110.36,110.91,111.5,113.28,115.49,116,113.6,113.03,113.92,114.34,115.52,115.87,115.7,115.96,116.38,116.78,118.31,118.65,118.49,118.26,117.8,118.09,119.02,119.2,119.79,121.52,121.79,122.19,124.94,125.26,124.27,122.53,121.7,122.79,123.9,124.32,125.68,125.88,126,126.39,128.53,128.94,128.26,127.94,127.37,128.25,129.66,130.1,129.88,128.78,129.43,129.8,131.16,131.34,130.45,129.86,130.69,131.81,132.21,132.5,131.78,131.22,131.91,131.94,132.73,103.04,103.54,104.2,103.9,103.95,103.88,103.52,103.83,104.08,104.95,105.27,106.61,107.46,106.71,106.61,107.06,107.26,107.18,107.11,106.88,106.71,107.19,108.07,108.71,109.93,108.84,109.77,111.14,112.28,112.79,113.32,112.21,113.22,113.26,112.85,114.55,115.41,116,115.64,115.15,115.74,115.82,115.77,115.8,116.11,115.98,116.2
KOTA SIBOLGA,163.31,164.06,166.68,165.64,168.48,109.68,111.07,111.17,113.04,113,114.01,115.55,115.33,116.19,114.95,114.41,114.81,114.94,116.05,116.62,118.91,118.66,118.23,117.39,119.45,119.96,118.81,119.75,120.1,121.9,124.98,124.96,125.16,125.15,127.53,131.28,134.77,134.89,132.32,130.59,129.86,131.13,132.45,133.5,133.78,134.25,133.72,136.15,139.59,137.87,137.27,137.75,137.69,140.47,140.63,141.65,140.35,140.41,139.58,140.64,145.96,146.13,145.86,146.94,146.64,149.51,152.06,153.25,151.73,153.62,153.66,154.82,113.76,111,110.37,110.62,111.68,111.9,113.71,113.37,113.79,114.57,117.38,119.4,120.13,117.68,117.3,117.98,119.83,121.46,123.31,122.41,120.15,119.9,120.83,123.39,125.64,125.62,126.56,124.29,123.71,124.87,126.01,126.78,129.12,130.83,132.13,132.51,133.28,131.5,130.58,130.91,131.42,131.92,131.61,132.94,134.17,134.58,136.07,136.59,138.34,137.65,138.74,137.85,137.75,138.15,139,138.48,139.02,140.75,140.36,140.5,140.46,139.48,139.82,141.43,142.38,145.59,148.33,147.47,144.61,144.08,143.39,144.12,103.87,104.59,103.76,103.07,103.25,103.38,103.06,103.05,103.35,104.43,104.79,106.17,106.96,106.23,105.92,106.29,105.97,106.3,106.96,107.01,107.35,107.47,107.97,108.15,109.81,109.58,110.6,111.02,111.96,113.21,114.42,114.4,114.78,113.53,113.47,115.1,116.78,117.15,116.38,116.69,116.88,117.6,118.01,118.16,118.68,118.45,118.22
KOTA PEMATANG SIANTAR,158.34,159.86,161.4,162.18,165.34,110.11,111.47,111.49,111.62,112.32,112.29,113.11,113.43,114.02,112.88,112.71,113.33,112.99,114.17,115.74,116.67,117.33,116.81,116.19,117.24,117.68,117.4,117.9,118.09,120.79,122.86,121.94,122.1,122.13,124.21,127.44,130.53,130.5,128.96,127.06,127.45,128.46,129.46,130.34,132,132.47,132.1,132.85,136.64,135.51,134.98,135.84,135.18,137.59,138.13,138.27,138.94,138.35,137.59,139.13,141.92,143.57,144,144.44,144.93,146.7,150.4,150.96,152.06,152.78,154.9,155.85,114.27,113.4,114.07,113.32,115.14,115.04,115.37,115.52,116.18,116.51,118.78,121.97,121.23,119.56,119.76,120.43,121.77,123.52,123.59,123.34,123,123.53,123.87,126.07,126.63,126.21,127.04,126.2,127.24,128.07,128.29,129.14,129.51,130.32,131.36,132.07,133.02,132.8,133.03,132.81,132.8,132.71,133.06,134.16,134.9,135.1,135.53,136.16,136.89,136.1,136.33,137.1,137.09,137.23,137.71,137.8,137.47,138.57,138.56,139.09,139.1,138.69,139.06,140.49,141.43,142.71,143.12,142.55,140.87,140.89,140.75,141.23,103.33,103.45,103.33,102.92,103.3,103.17,102.39,102.59,102.89,103.36,104.02,105.55,106.76,106.27,106.03,106.08,106.17,106.41,106.38,106.31,106.64,106.26,106.88,107.79,108.83,109.03,109.87,110.3,110.98,112.49,112.53,111.64,113.32,112.71,112.62,114.43,115.55,115.5,115.15,114.86,115.38,115.98,116.1,115.97,116.15,115.98,116.41
KOTA MEDAN,165.84,166.17,167.66,168.02,170.65,109.92,111.42,111.02,111.25,112.76,113.18,113.76,113.52,113.07,112.8,112.32,112.6,112.61,113.96,115,116.38,116.63,115.96,116.82,118.5,118.84,118.05,117.95,118.29,120.55,123.02,122.62,122.38,122.93,123.92,125.76,128.1,127.36,126.16,125.25,124.88,126.21,127.41,128.92,130.58,129.48,129.62,130.21,132.32,131.23,130.89,131.15,131.29,132.77,133.78,133.84,133.81,134.44,134.5,135.15,136.79,137.88,138.46,139.48,139.95,141.74,145.62,146.35,146.53,147.99,148.89,148.79,112.62,111.95,111.57,111.95,112.29,112.96,113.86,114.62,114.88,115.69,117.71,120.69,120.27,118.64,118.63,119.77,120.98,121.91,122.91,123.63,122.77,122.37,123.02,124.7,125.83,126.31,127.42,125.87,126.42,127.45,127.54,128.59,130.29,131.74,132.72,132.93,133.44,132.59,132.33,131.63,131.73,132.05,132.46,133.87,135.31,135.63,136.17,137.16,138.14,136.82,137.66,137.65,136.46,136.47,137.14,137.15,137.28,139.26,138.37,138.53,138.83,138.42,138.86,140.66,142.53,144.92,146.3,146.7,143.88,143.39,142.29,141.89,102.95,103.09,102.89,102.6,103.03,102.94,102.72,102.76,102.71,103.17,103.48,104.15,104.55,104.21,104.18,104.22,104.47,104.5,104.82,104.71,105.03,104.98,105.46,105.92,107.02,106.72,107.45,107.91,108.73,110.24,110.54,110.26,111.34,110.82,110.68,112.38,113.35,112.92,112.58,112.36,112.63,112.96,113.28,113.21,113.64,113.59,114.15
KOTA PADANGSIDIMPUAN,165.88,170.31,171.55,171.97,173.2,112.34,113.94,113.56,113.77,114.16,114.75,115.55,115.67,115.93,115.52,114.09,113.88,114.28,114.98,115.64,117.32,117.74,117.91,117.71,119.59,119.08,118.16,118.85,119.17,120.68,122.27,121.62,121.67,121.99,123.2,126.44,129.47,129.39,127.54,126.19,126.12,126.17,127.3,128.73,130.57,130.38,131.5,132.33,133.26,132.99,132.8,132.5,132.79,134.37,134.62,136.39,135.66,136.03,136.29,137.02,138.79,139.2,138.5,139.62,139,140.19,145.38,146.79,145.8,146.94,148.4,147.74,111.61,110.5,110.45,110.54,110.39,111,112.05,112.79,112.95,113.36,115.61,118.26,117.9,116.25,116.24,116.82,117.55,118.12,119.42,119.03,118.05,118.04,118.52,120.22,121.09,120.86,121.51,120.67,121.04,121.32,123.23,122.73,123.75,124.37,125.33,125.36,126.72,126.63,126.08,126.34,126.23,127.6,126.96,127.5,128.01,128.21,129.03,130.15,130.51,129.75,130.18,131.17,130.45,130.95,131.64,131.65,131.7,131.84,132.5,133.04,133.65,133.05,133.38,133.86,134.22,136.62,136.7,136.97,135.67,136.15,136.08,135.9,104.02,104.01,104.56,104.6,105.4,105.38,105.12,105.19,105.06,105.61,106.02,107.08,107.49,107.19,106.58,107.23,107.56,107.28,107.47,107.72,107.77,107.83,108.3,108.68,109.66,110.07,111.29,112.16,113.02,114.48,115.15,114.79,115.93,115.22,114.91,115.64,116.98,117.47,117.27,117.22,117.79,118.04,118.58,118.42,119,118.79,118.8
KOTA PADANG,161.68,164.9,167.25,167.4,168.3,111.41,113.09,113.26,113.68,114.81,115.79,116.03,115.94,116.73,116.08,115.2,114.75,114.53,115.39,115.91,117.72,119.82,119.19,118.41,120.29,120.5,119.62,119.94,120.59,122.5,124.33,123.87,123.41,123.48,125.19,127.69,132.42,133,129.55,128.16,128.26,128.4,129.39,130.85,132.47,133.3,133.91,134.55,135.31,134.09,134.67,135.29,134.71,136.35,136.53,138.01,138.75,139.73,138.85,140.15,142.03,142.93,143.42,144.22,145.14,147.17,151.22,152.59,152.67,153.71,154.31,155.39,114.76,114.03,113.58,113.48,113.54,113.89,114.81,116.91,117.3,118.68,122.76,126.03,123.54,120.98,120.99,121.67,122.46,123.48,124.97,125.44,124.83,124.28,124.87,127.1,127.12,128.21,128.91,127.72,127.25,127.38,129.32,130.4,131.16,131.9,133.39,133.48,134.24,134.06,134.04,133.62,133.56,134.01,134.73,134.25,134.43,134.69,135.33,136.3,136.88,136.76,137.19,137.2,137.83,138.37,139.23,138.67,138.18,139.28,139.55,139.77,140.11,139.49,139.95,140.56,141.77,143.28,144.55,144.41,143.04,142.55,142.07,142.17,103.86,103.56,103.54,103.05,103.73,103.56,103.45,103.54,103.49,104.1,104.64,105.38,105.49,105.05,105.39,105.34,105.54,105.37,105.27,105.16,105.2,105.57,106.31,106.82,107.92,108.02,108.8,109.45,110.96,112.25,113.77,112.67,114.18,113.93,113.59,114.7,115.22,115.37,115.26,115.23,115.69,115.65,116.22,116.3,116.38,116.52,117.22
KOTA BUKITTINGGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.33,110.04,109.82,109.55,110.07,110.17,111.13,112.14,113.21,113.77,116.08,118.22,117.76,114.99,114.79,115.67,116.62,117.15,119.09,119.74,118.87,118.39,119.37,121.52,121.88,121.62,123.05,121.09,120.68,121.56,123.34,123.83,125.2,125.66,127.01,126.29,126.57,126,126.31,126.08,125.52,125.77,125.88,126.23,126.62,127.14,127.55,128.02,128.98,128.69,129.05,129.21,128.71,128.97,129.08,128.91,129.04,130.23,131.31,131.85,131.34,130.7,130.84,131.51,132.54,134.24,134.86,135.18,133.69,133.72,133.59,133.58,102.99,103.46,103.53,103.59,103.99,103.85,103.44,103.26,103.25,104.02,104.41,104.82,105.13,105.01,105.34,105.54,105.81,105.53,105.5,105.22,105.78,106.21,106.63,106.59,107.6,107.5,108.77,109.97,111.68,113.11,113.38,112.35,114.45,114.16,114.11,114.86,115.31,115.42,115.38,115.45,115.66,115.76,116.18,116.08,116.85,116.78,117.18
TEMBILAHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.63,116.16,116.05,116.94,116.67,117.61,120.22,120.16,120.11,120.77,121.97,124.06,123.83,122.65,122.58,123.34,124.41,124.94,125.93,126.25,125.77,125.46,125.65,126.62,127.21,127.14,127.48,127.02,127.17,128.23,128.97,129.31,129.02,129.65,129.87,129.89,131.43,131.25,131.26,131.29,132.2,132.62,132.9,133.96,133.95,134.07,134.76,135.43,136.38,135.87,137.75,137.98,138.3,138.45,138.76,138.03,136.99,136.94,138.04,139,139.53,138.75,139.28,140.76,142.58,143.85,144.3,143.83,143.43,142.58,142.37,142.34,103.3,103.62,103.58,104.03,104.68,105.86,105.07,105.06,104.83,105.37,105.9,106.26,106.58,106.47,106.4,106.81,106.82,106.48,106.38,105.93,106.36,106.76,107.11,107.42,108.89,108.04,109.32,109.92,110.96,111.84,112.86,111.1,112.09,111.31,111.54,112.6,113.19,113.34,113.13,113.6,113.75,113.78,114.24,113.62,113.72,113.58,114.19
