City,Month,Year,CPI
KOTA MEULABOH,januari,2008,0.0
KOTA BANDA ACEH,januari,2008,204.8
KOTA LHOKSEUMAWE,januari,2008,160.79
KOTA SIBOLGA,januari,2008,163.31
KOTA PEMATANG SIANTAR,januari,2008,158.34
KOTA MEDAN,januari,2008,165.84
KOTA PADANGSIDIMPUAN,januari,2008,165.88
KOTA PADANG,januari,2008,161.68
KOTA BUKITTINGGI,januari,2008,0.0
TEMBILAHAN,januari,2008,0.0
KOTA PEKANBARU,januari,2008,106.92
KOTA DUMAI,januari,2008,104.56
BUNGO,januari,2008,0.0
KOTA JAMBI,januari,2008,165.49
KOTA PALEMBANG,januari,2008,171.79
KOTA LUBUKLINGGAU,januari,2008,0.0
KOTA BENGKULU,januari,2008,161.14
KOTA BANDAR LAMPUNG,januari,2008,159.65
KOTA METRO,januari,2008,0.0
TANJUNG PANDAN,januari,2008,0.0
KOTA PANGKAL PINANG,januari,2008,161.1
KOTA BATAM,januari,2008,140.24
KOTA TANJUNG PINANG,januari,2008,103.59
DKI JAKARTA,januari,2008,154.85
KOTA BOGOR,januari,2008,104.94
KOTA SUKABUMI,januari,2008,103.8
KOTA BANDUNG,januari,2008,160.15
KOTA CIREBON,januari,2008,151.86
KOTA BEKASI,januari,2008,103.02
KOTA DEPOK,januari,2008,104.59
KOTA TASIKMALAYA,januari,2008,167.4
CILACAP,januari,2008,0.0
PURWOKERTO,januari,2008,152.57
KUDUS,januari,2008,0.0
KOTA SURAKARTA,januari,2008,142.35
KOTA SEMARANG,januari,2008,158.84
KOTA TEGAL,januari,2008,160.36
KOTA YOGYAKARTA,januari,2008,165.08
JEMBER,januari,2008,158.51
BANYUWANGI,januari,2008,0.0
SUMENEP,januari,2008,103.11
KOTA KEDIRI,januari,2008,154.66
KOTA MALANG,januari,2008,153.84
KOTA PROBOLINGGO,januari,2008,105.2
KOTA MADIUN,januari,2008,153.28
KOTA SURABAYA,januari,2008,153.28
KOTA TANGERANG,januari,2008,104.62
KOTA CILEGON,januari,2008,104.2
KOTA SERANG,januari,2008,159.5
SINGARAJA,januari,2008,0.0
KOTA DENPASAR,januari,2008,148.59
KOTA MATARAM,januari,2008,153.61
KOTA BIMA,januari,2008,107.08
MAUMERE,januari,2008,106.76
KOTA KUPANG,januari,2008,171.1
KOTA PONTIANAK,januari,2008,155.24
KOTA SINGKAWANG,januari,2008,105.06
SAMPIT,januari,2008,154.01
KOTA PALANGKA RAYA,januari,2008,160.81
TANJUNG,januari,2008,0.0
KOTA BANJARMASIN,januari,2008,166.94
KOTA BALIKPAPAN,januari,2008,163.52
KOTA SAMARINDA,januari,2008,163.65
KOTA TARAKAN,januari,2008,108.58
KOTA MANADO,januari,2008,156.07
KOTA PALU,januari,2008,167.87
BULUKUMBA,januari,2008,0.0
WATAMPONE,januari,2008,107.36
KOTA MAKASSAR,januari,2008,152.02
KOTA PARE-PARE,januari,2008,140.24
KOTA PALOPO,januari,2008,106.82
KOTA KENDARI,januari,2008,172.64
KOTA BAU-BAU,januari,2008,0.0
KOTA GORONTALO,januari,2008,156.87
MAMUJU,januari,2008,106.32
KOTA AMBON,januari,2008,149.48
KOTA TUAL,januari,2008,0.0
KOTA TERNATE,januari,2008,162.96
MANOKWARI,januari,2008,104.53
KOTA SORONG,januari,2008,107.93
MERAUKE,januari,2008,0.0
KOTA JAYAPURA,januari,2008,179.87
KOTA MEULABOH,februari,2008,0.0
KOTA BANDA ACEH,februari,2008,208.85
KOTA LHOKSEUMAWE,februari,2008,163.58
KOTA SIBOLGA,februari,2008,164.06
KOTA PEMATANG SIANTAR,februari,2008,159.86
KOTA MEDAN,februari,2008,166.17
KOTA PADANGSIDIMPUAN,februari,2008,170.31
KOTA PADANG,februari,2008,164.9
KOTA BUKITTINGGI,februari,2008,0.0
TEMBILAHAN,februari,2008,0.0
KOTA PEKANBARU,februari,2008,107.29
KOTA DUMAI,februari,2008,105.29
BUNGO,februari,2008,0.0
KOTA JAMBI,februari,2008,166.24
KOTA PALEMBANG,februari,2008,172.39
KOTA LUBUKLINGGAU,februari,2008,0.0
KOTA BENGKULU,februari,2008,161.96
KOTA BANDAR LAMPUNG,februari,2008,161.92
KOTA METRO,februari,2008,0.0
TANJUNG PANDAN,februari,2008,0.0
KOTA PANGKAL PINANG,februari,2008,164.44
KOTA BATAM,februari,2008,141.84
KOTA TANJUNG PINANG,februari,2008,104.62
DKI JAKARTA,februari,2008,155.3
KOTA BOGOR,februari,2008,107.06
KOTA SUKABUMI,februari,2008,104.84
KOTA BANDUNG,februari,2008,161.43
KOTA CIREBON,februari,2008,153.12
KOTA BEKASI,februari,2008,104.7
KOTA DEPOK,februari,2008,105.65
KOTA TASIKMALAYA,februari,2008,168.99
CILACAP,februari,2008,0.0
PURWOKERTO,februari,2008,153.66
KUDUS,februari,2008,0.0
KOTA SURAKARTA,februari,2008,143.61
KOTA SEMARANG,februari,2008,161.13
KOTA TEGAL,februari,2008,161.29
KOTA YOGYAKARTA,februari,2008,166.75
JEMBER,februari,2008,158.99
BANYUWANGI,februari,2008,0.0
SUMENEP,februari,2008,103.33
KOTA KEDIRI,februari,2008,155.13
KOTA MALANG,februari,2008,154.46
KOTA PROBOLINGGO,februari,2008,105.79
KOTA MADIUN,februari,2008,154.28
KOTA SURABAYA,februari,2008,154.28
KOTA TANGERANG,februari,2008,106.0
KOTA CILEGON,februari,2008,105.1
KOTA SERANG,februari,2008,162.25
SINGARAJA,februari,2008,0.0
KOTA DENPASAR,februari,2008,149.29
KOTA MATARAM,februari,2008,155.28
KOTA BIMA,februari,2008,107.25
MAUMERE,februari,2008,103.83
KOTA KUPANG,februari,2008,170.47
KOTA PONTIANAK,februari,2008,156.44
KOTA SINGKAWANG,februari,2008,106.73
SAMPIT,februari,2008,151.68
KOTA PALANGKA RAYA,februari,2008,160.41
TANJUNG,februari,2008,0.0
KOTA BANJARMASIN,februari,2008,167.56
KOTA BALIKPAPAN,februari,2008,165.26
KOTA SAMARINDA,februari,2008,163.65
KOTA TARAKAN,februari,2008,108.51
KOTA MANADO,februari,2008,155.62
KOTA PALU,februari,2008,168.27
BULUKUMBA,februari,2008,0.0
WATAMPONE,februari,2008,110.51
KOTA MAKASSAR,februari,2008,153.65
KOTA PARE-PARE,februari,2008,141.84
KOTA PALOPO,februari,2008,108.09
KOTA KENDARI,februari,2008,172.52
KOTA BAU-BAU,februari,2008,0.0
KOTA GORONTALO,februari,2008,155.37
MAMUJU,februari,2008,107.17
KOTA AMBON,februari,2008,152.22
KOTA TUAL,februari,2008,0.0
KOTA TERNATE,februari,2008,164.89
MANOKWARI,februari,2008,106.15
KOTA SORONG,februari,2008,105.89
MERAUKE,februari,2008,0.0
KOTA JAYAPURA,februari,2008,185.08
KOTA MEULABOH,maret,2008,0.0
KOTA BANDA ACEH,maret,2008,207.26
KOTA LHOKSEUMAWE,maret,2008,165.43
KOTA SIBOLGA,maret,2008,166.68
KOTA PEMATANG SIANTAR,maret,2008,161.4
KOTA MEDAN,maret,2008,167.66
KOTA PADANGSIDIMPUAN,maret,2008,171.55
KOTA PADANG,maret,2008,167.25
KOTA BUKITTINGGI,maret,2008,0.0
TEMBILAHAN,maret,2008,0.0
KOTA PEKANBARU,maret,2008,109.48
KOTA DUMAI,maret,2008,106.54
BUNGO,maret,2008,0.0
KOTA JAMBI,maret,2008,168.06
KOTA PALEMBANG,maret,2008,175.54
KOTA LUBUKLINGGAU,maret,2008,0.0
KOTA BENGKULU,maret,2008,165.13
KOTA BANDAR LAMPUNG,maret,2008,163.78
KOTA METRO,maret,2008,0.0
TANJUNG PANDAN,maret,2008,0.0
KOTA PANGKAL PINANG,maret,2008,164.52
KOTA BATAM,maret,2008,143.01
KOTA TANJUNG PINANG,maret,2008,106.18
DKI JAKARTA,maret,2008,156.58
KOTA BOGOR,maret,2008,108.13
KOTA SUKABUMI,maret,2008,105.66
KOTA BANDUNG,maret,2008,162.4
KOTA CIREBON,maret,2008,154.52
KOTA BEKASI,maret,2008,104.77
KOTA DEPOK,maret,2008,106.13
KOTA TASIKMALAYA,maret,2008,169.34
CILACAP,maret,2008,0.0
PURWOKERTO,maret,2008,155.86
KUDUS,maret,2008,0.0
KOTA SURAKARTA,maret,2008,144.13
KOTA SEMARANG,maret,2008,163.5
KOTA TEGAL,maret,2008,162.12
KOTA YOGYAKARTA,maret,2008,167.68
JEMBER,maret,2008,159.44
BANYUWANGI,maret,2008,0.0
SUMENEP,maret,2008,102.96
KOTA KEDIRI,maret,2008,156.61
KOTA MALANG,maret,2008,156.69
KOTA PROBOLINGGO,maret,2008,107.32
KOTA MADIUN,maret,2008,156.62
KOTA SURABAYA,maret,2008,156.62
KOTA TANGERANG,maret,2008,106.47
KOTA CILEGON,maret,2008,105.63
KOTA SERANG,maret,2008,163.68
SINGARAJA,maret,2008,0.0
KOTA DENPASAR,maret,2008,149.83
KOTA MATARAM,maret,2008,155.92
KOTA BIMA,maret,2008,106.69
MAUMERE,maret,2008,107.61
KOTA KUPANG,maret,2008,171.05
KOTA PONTIANAK,maret,2008,159.23
KOTA SINGKAWANG,maret,2008,107.72
SAMPIT,maret,2008,150.51
KOTA PALANGKA RAYA,maret,2008,159.98
TANJUNG,maret,2008,0.0
KOTA BANJARMASIN,maret,2008,168.93
KOTA BALIKPAPAN,maret,2008,167.76
KOTA SAMARINDA,maret,2008,165.99
KOTA TARAKAN,maret,2008,110.3
KOTA MANADO,maret,2008,157.53
KOTA PALU,maret,2008,167.75
BULUKUMBA,maret,2008,0.0
WATAMPONE,maret,2008,109.87
KOTA MAKASSAR,maret,2008,155.23
KOTA PARE-PARE,maret,2008,143.01
KOTA PALOPO,maret,2008,110.9
KOTA KENDARI,maret,2008,174.28
KOTA BAU-BAU,maret,2008,0.0
KOTA GORONTALO,maret,2008,155.83
MAMUJU,maret,2008,108.38
KOTA AMBON,maret,2008,148.07
KOTA TUAL,maret,2008,0.0
KOTA TERNATE,maret,2008,167.79
MANOKWARI,maret,2008,105.91
KOTA SORONG,maret,2008,108.12
MERAUKE,maret,2008,0.0
KOTA JAYAPURA,maret,2008,185.37
KOTA MEULABOH,april,2008,0.0
KOTA BANDA ACEH,april,2008,205.6
KOTA LHOKSEUMAWE,april,2008,163.93
KOTA SIBOLGA,april,2008,165.64
KOTA PEMATANG SIANTAR,april,2008,162.18
KOTA MEDAN,april,2008,168.02
KOTA PADANGSIDIMPUAN,april,2008,171.97
KOTA PADANG,april,2008,167.4
KOTA BUKITTINGGI,april,2008,0.0
TEMBILAHAN,april,2008,0.0
KOTA PEKANBARU,april,2008,109.6
KOTA DUMAI,april,2008,107.13
BUNGO,april,2008,0.0
KOTA JAMBI,april,2008,169.01
KOTA PALEMBANG,april,2008,179.71
KOTA LUBUKLINGGAU,april,2008,0.0
