Kota,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.2,0.58,3.77,4.76,0.96,4.28,4.24,2.07,6.56
KOTA BANDA ACEH,10.57,16.6,10.14,3.5,6.97,41.11,9.54,11,10.27,3.5,4.64,3.32,0.06,6.39,7.83,1.27,3.13,4.86,1.93,1.38,3.46,2.41,6
KOTA LHOKSEUMAWE,8.73,11.67,10.99,4.53,7.36,17.57,11.47,4.18,13.78,3.96,7.19,3.55,0.39,8.27,8.53,2.44,5.6,2.87,2.05,1.2,3.55,1.97,5.37
KOTA SIBOLGA,6.95,8.66,11.58,3.94,6.64,22.39,5.03,7.13,12.36,1.87,11.83,3.71,3.3,10.08,8.36,3.34,7.39,3.08,2.86,2.58,2.42,1.86,6.43
KOTA PEMATANG SIANTAR,4.67,13.55,9.41,2.51,7.31,19.67,6.06,8.37,10.16,2.69,9.68,4.25,4.73,12.02,7.94,3.36,4.76,3.1,2.15,1.54,2.78,2.12,6.16
KOTA MEDAN,5.9,15.5,9.49,4.46,6.64,22.91,5.97,6.42,10.63,1.59,7.65,3.54,3.79,10.09,8.24,3.32,6.6,3.18,1,2.43,1.76,1.7,6.1
KOTA PADANGSIDIMPUAN,3.95,9.84,10.18,4.07,8.99,18.47,10.02,5.87,12.34,2.72,7.42,4.66,3.54,7.82,7.38,1.66,4.28,3.82,2.22,2.15,3.27,1.49,6.4
KOTA PADANG,10.99,9.86,10.22,5.55,6.98,20.47,8.05,6.9,12.68,2.05,7.84,5.37,4.16,10.87,11.9,0.85,5.02,2.11,2.55,1.72,5.32,1.37,7.38
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.24,2.79,3.93,1.37,2.99,1.31,2.12,1.69,7.76
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.06,2.06,2.58,4.27,2.64,2.4,2.02,1.09,4.82
KOTA PEKANBARU,10.34,14.65,11.66,6.65,8.92,17.1,6.32,7.53,9.02,1.94,7,5.09,3.35,8.83,8.53,2.71,4.19,4.07,2.54,2.56,3.3,1.55,7.04
KOTA DUMAI,-,-,-,-,-,-,-,-,14.3,0.8,9.05,3.09,3.21,8.6,8.53,2.63,3.98,4.85,1.85,1.28,2.24,1.66,6.46
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.99,1.29,3.11,4.25,2.46,2.61,2.88,1.65,6.04
KOTA JAMBI,8.4,10.11,12.62,3.79,7.25,16.5,10.66,7.42,11.57,1.85,10.52,2.76,4.22,8.74,8.72,1.37,4.54,2.68,3.02,1.27,2.32,1.67,6.39
KOTA PALEMBANG,8.49,15.15,12.25,5.03,8.94,19.92,8.44,8.21,11.15,2.88,6.02,3.78,2.72,7.04,8.38,3.05,3.68,2.85,2.78,2.06,3.09,1.84,5.95
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.34,3.47,2.74,3.94,2.42,2.1,1.5,1.63,5.83
KOTA BENGKULU,8.21,10.58,10.11,4.14,4.67,25.22,6.52,5,13.44,4.18,9.08,3.96,4.61,9.94,10.85,3.25,5,3.56,2.35,2.91,1.97,2.42,5.92
KOTA BANDAR LAMPUNG,10.18,12.94,10.32,5.44,5.22,21.17,6.03,6.58,14.82,2.17,9.95,4.24,4.3,7.56,8.36,4.65,2.75,3.14,2.92,3.53,0.89,2.13,5.52
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,2.67,2.92,2.32,1.64,2.97,1.93,2.74,5.37
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.14,0.88,4.92,3.97,2.72,3.19,2.53,4.01,4.17
KOTA PANGKAL PINANG,-,-,-,-,9,17.44,6.42,2.64,18.4,1.88,9.36,5,6.57,8.71,6.81,4.66,7.78,2.66,3.45,2.31,2.11,3.6,6.07
KOTA BATAM,9,12.64,9.14,4.27,4.22,14.79,4.58,4.84,8.39,2.49,7.4,3.76,2.02,7.81,7.61,4.73,3.61,4.13,3.65,1.97,0.52,2.45,5.95
KOTA TANJUNG PINANG,-,-,-,-,-,-,-,-,11.9,1.43,6.17,3.32,3.92,10.09,7.49,2.46,3.06,3.37,2.36,2.4,1.12,0.86,4.96
DKI JAKARTA,10.29,11.52,9.08,5.78,5.87,16.08,6.03,6.04,11.11,2.34,6.21,3.97,4.52,8,8.95,3.3,2.37,3.72,3.27,3.23,1.66,1.53,4.21
KOTA BOGOR,-,-,-,-,-,-,-,-,14.2,2.16,6.57,2.85,4.06,8.55,6.83,2.7,3.6,4.59,3.69,3.02,1.59,1.93,5.82
KOTA SUKABUMI,-,-,-,-,-,-,-,-,11.39,3.49,5.43,4.26,3.98,8.03,8.38,2.2,2.57,4.1,2.95,2.33,2.18,1.71,5.45
KOTA BANDUNG,8.52,11.61,11.97,5.69,7.56,19.58,5.33,5.25,10.23,2.11,4.53,2.75,4.02,7.97,7.76,3.93,2.93,3.46,3.76,2.78,1.84,1.65,7.45
KOTA CIREBON,6.52,12.93,10.53,3.35,3.27,16.82,6.31,7.87,14.14,2.83,6.7,3.2,3.36,7.86,7.08,1.56,1.87,4.36,2.8,2,1.75,1.81,4.86
