Kota,Januari_x,Februari_x,Maret_x,April_x,Mei_x,Juni_x,Juli_x,Agustus_x,September_x,Oktober_x,November_x,Desember_x,Januari_y,Februari_y,Maret_y,April_y,Mei_y,Juni_y,Juli_y,Agustus_y,September_y,Oktober_y,November_y,Desember_y
KOTA MEULABOH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOTA BANDA ACEH,-0.3,-0.04,0.7,-0.47,0.63,-0.02,0.8,1.45,1.82,-1.3,0.45,-0.23,-0.3,-0.04,0.7,-0.47,0.63,-0.02,0.8,1.45,1.82,-1.3,0.45,-0.23
KOTA LHOKSEUMAWE,-0.93,0.88,-0.5,-0.03,0.09,-0.43,0.97,1.06,2.28,-0.86,0.08,1.31,-0.93,0.88,-0.5,-0.03,0.09,-0.43,0.97,1.06,2.28,-0.86,0.08,1.31
KOTA SIBOLGA,-0.19,0.75,-1.07,-0.47,0.35,0.11,0.97,0.49,1.96,-0.21,-0.36,-0.71,-0.19,0.75,-1.07,-0.47,0.35,0.11,0.97,0.49,1.96,-0.21,-0.36,-0.71
KOTA PEMATANG SIANTAR,0.28,0.52,-1.0,-0.15,0.55,-0.3,1.04,1.38,0.8,0.57,-0.44,-0.53,0.28,0.52,-1.0,-0.15,0.55,-0.3,1.04,1.38,0.8,0.57,-0.44,-0.53
KOTA MEDAN,-0.21,-0.4,-0.24,-0.43,0.25,0.01,1.2,0.91,1.2,0.21,-0.57,0.74,-0.21,-0.4,-0.24,-0.43,0.25,0.01,1.2,0.91,1.2,0.21,-0.57,0.74
KOTA PADANGSIDIMPUAN,0.1,0.22,-0.35,-1.24,-0.18,0.35,0.61,0.57,1.45,0.36,0.14,-0.17,0.1,0.22,-0.35,-1.24,-0.18,0.35,0.61,0.57,1.45,0.36,0.14,-0.17
KOTA PADANG,-0.08,0.68,-0.56,-0.76,-0.39,-0.19,0.75,0.45,1.56,1.78,-0.53,-0.65,-0.08,0.68,-0.56,-0.76,-0.39,-0.19,0.75,0.45,1.56,1.78,-0.53,-0.65
KOTA BUKITTINGGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMBILAHAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOTA PEKANBARU,0.81,0.12,-0.45,-0.54,0.04,-0.04,0.31,0.57,0.81,0.43,-0.03,-0.1,0.81,0.12,-0.45,-0.54,0.04,-0.04,0.31,0.57,0.81,0.43,-0.03,-0.1
KOTA DUMAI,0.21,-0.51,-0.44,-0.75,0.19,-0.21,1.39,0.24,1.86,-0.75,-0.23,-0.16,0.21,-0.51,-0.44,-0.75,0.19,-0.21,1.39,0.24,1.86,-0.75,-0.23,-0.16
BUNGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOTA JAMBI,0.42,0.66,-0.81,-1.27,0.97,-0.41,1.06,0.35,0.95,1.23,-0.34,-0.31,0.42,0.66,-0.81,-1.27,0.97,-0.41,1.06,0.35,0.95,1.23,-0.34,-0.31
KOTA PALEMBANG,-0.28,0.37,-0.15,-0.28,0.17,0.19,0.41,-0.14,1.29,0.15,0.07,0.03,-0.28,0.37,-0.15,-0.28,0.17,0.19,0.41,-0.14,1.29,0.15,0.07,0.03
KOTA LUBUKLINGGAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOTA BENGKULU,-0.02,0.41,-0.31,-0.74,-0.16,0.16,1.61,0.54,1.87,0.59,-0.83,-0.23,-0.02,0.41,-0.31,-0.74,-0.16,0.16,1.61,0.54,1.87,0.59,-0.83,-0.23
KOTA BANDAR LAMPUNG,0.98,-0.31,0.25,-1.26,-0.37,0.34,0.79,1.33,2.66,-0.23,0.24,-0.25,0.98,-0.31,0.25,-1.26,-0.37,0.34,0.79,1.33,2.66,-0.23,0.24,-0.25
KOTA METRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANJUNG PANDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOTA PANGKAL PINANG,0.61,-1.06,-0.33,-0.89,0.05,0.09,0.69,0.92,1.51,0.4,-0.76,0.94,0.61,-1.06,-0.33,-0.89,0.05,0.09,0.69,0.92,1.51,0.4,-0.76,0.94
KOTA BATAM,0.01,0.59,0.05,-0.61,0.03,0.15,0.15,0.33,1.27,0.23,-0.2,-0.12,0.01,0.59,0.05,-0.61,0.03,0.15,0.15,0.33,1.27,0.23,-0.2,-0.12
KOTA TANJUNG PINANG,1.2,0.28,-1.15,-0.74,-0.56,0.58,0.47,0.11,0.7,0.76,-0.28,0.08,1.2,0.28,-1.15,-0.74,-0.56,0.58,0.47,0.11,0.7,0.76,-0.28,0.08
DKI JAKARTA,-0.24,-0.22,0.33,-0.15,0.17,0.13,0.36,0.45,0.91,0.12,-0.05,0.51,-0.24,-0.22,0.33,-0.15,0.17,0.13,0.36,0.45,0.91,0.12,-0.05,0.51
KOTA BOGOR,-0.34,0.6,0.53,-0.47,0.02,0.18,0.16,0.88,0.66,-0.44,-0.14,0.49,-0.34,0.6,0.53,-0.47,0.02,0.18,0.16,0.88,0.66,-0.44,-0.14,0.49
KOTA SUKABUMI,0.12,0.37,1.18,0.36,-0.08,0.07,0.3,0.5,0.44,-0.08,-0.01,0.26,0.12,0.37,1.18,0.36,-0.08,0.07,0.3,0.5,0.44,-0.08,-0.01,0.26
KOTA BANDUNG,-0.29,-0.12,0.52,-0.04,-0.2,0.09,0.29,0.5,0.84,0.3,-0.02,0.22,-0.29,-0.12,0.52,-0.04,-0.2,0.09,0.29,0.5,0.84,0.3,-0.02,0.22
KOTA CIREBON,-0.21,1.03,0.1,-0.13,0.04,0.13,0.08,1.26,1.14,0.12,0.01,0.49,-0.21,1.03,0.1,-0.13,0.04,0.13,0.08,1.26,1.14,0.12,0.01,0.49
KOTA BEKASI,-0.4,0.59,-0.18,-0.53,0.27,0.01,0.44,0.53,0.78,0.23,0.02,0.17,-0.4,0.59,-0.18,-0.53,0.27,0.01,0.44,0.53,0.78,0.23,0.02,0.17
KOTA DEPOK,-0.23,-0.67,0.03,-0.22,0.01,0.01,0.58,0.56,1.27,0.05,-0.23,0.14,-0.23,-0.67,0.03,-0.22,0.01,0.01,0.58,0.56,1.27,0.05,-0.23,0.14
KOTA TASIKMALAYA,0.43,0.1,0.25,0.97,0.03,0.09,0.12,0.33,0.64,0.4,0.5,0.24,0.43,0.1,0.25,0.97,0.03,0.09,0.12,0.33,0.64,0.4,0.5,0.24
CILACAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
