City,Month,Year,Inflation
KOTA MEULABOH,januari,2008,0.0
KOTA BANDA ACEH,januari,2008,2.26
KOTA LHOKSEUMAWE,januari,2008,1.89
KOTA SIBOLGA,januari,2008,2.51
KOTA PEMATANG SIANTAR,januari,2008,1.12
KOTA MEDAN,januari,2008,1.08
KOTA PADANGSIDIMPUAN,januari,2008,1.2
KOTA PADANG,januari,2008,0.87
KOTA BUKITTINGGI,januari,2008,0.0
TEMBILAHAN,januari,2008,0.0
KOTA PEKANBARU,januari,2008,1.76
KOTA DUMAI,januari,2008,1.08
BUNGO,januari,2008,0.0
KOTA JAMBI,januari,2008,0.6
KOTA PALEMBANG,januari,2008,0.91
KOTA LUBUKLINGGAU,januari,2008,0.0
KOTA BENGKULU,januari,2008,1.58
KOTA BANDAR LAMPUNG,januari,2008,0.68
KOTA METRO,januari,2008,0.0
TANJUNG PANDAN,januari,2008,0.0
KOTA PANGKAL PINANG,januari,2008,4.31
KOTA BATAM,januari,2008,0.92
KOTA TANJUNG PINANG,januari,2008,-0.69
DKI JAKARTA,januari,2008,2.37
KOTA BOGOR,januari,2008,3.31
KOTA SUKABUMI,januari,2008,1.14
KOTA BANDUNG,januari,2008,1.39
KOTA CIREBON,januari,2008,1.74
KOTA BEKASI,januari,2008,0.63
KOTA DEPOK,januari,2008,2.56
KOTA TASIKMALAYA,januari,2008,1.4
CILACAP,januari,2008,0.0
PURWOKERTO,januari,2008,1.41
KUDUS,januari,2008,0.0
KOTA SURAKARTA,januari,2008,1.48
KOTA SEMARANG,januari,2008,1.21
KOTA TEGAL,januari,2008,1.61
KOTA YOGYAKARTA,januari,2008,1.25
JEMBER,januari,2008,2.13
BANYUWANGI,januari,2008,0.0
SUMENEP,januari,2008,2.22
KOTA KEDIRI,januari,2008,1.66
KOTA MALANG,januari,2008,2.17
KOTA PROBOLINGGO,januari,2008,0.74
KOTA MADIUN,januari,2008,2.32
KOTA SURABAYA,januari,2008,1.38
KOTA TANGERANG,januari,2008,0.2
KOTA CILEGON,januari,2008,2.3
KOTA SERANG,januari,2008,1.87
SINGARAJA,januari,2008,0.0
KOTA DENPASAR,januari,2008,2.5
KOTA MATARAM,januari,2008,1.7
KOTA BIMA,januari,2008,2.98
MAUMERE,januari,2008,3.56
KOTA KUPANG,januari,2008,3.36
KOTA PONTIANAK,januari,2008,1.6
KOTA SINGKAWANG,januari,2008,1.56
SAMPIT,januari,2008,3.96
KOTA PALANGKA RAYA,januari,2008,5.02
TANJUNG,januari,2008,0.0
KOTA BANJARMASIN,januari,2008,2.89
KOTA BALIKPAPAN,januari,2008,1.13
KOTA SAMARINDA,januari,2008,2.51
KOTA TARAKAN,januari,2008,6.19
KOTA MANADO,januari,2008,0.1
KOTA PALU,januari,2008,1.56
BULUKUMBA,januari,2008,0.0
WATAMPONE,januari,2008,1.23
KOTA MAKASSAR,januari,2008,2.29
KOTA PARE-PARE,januari,2008,1.41
KOTA PALOPO,januari,2008,2.94
KOTA KENDARI,januari,2008,1.94
KOTA BAU-BAU,januari,2008,0.0
